date,trade_cash_flow,exposure,daily_pnl,buy_amount,sell_amount,trade_cost,account_total_assets,stock_assets,cash_assets,profit,profit_rate,fold,selected_params
2020-12-30,0.0,0.24302290518857633,8399.28455736922,0.0,0.0,0.0,1146476.7777902875,278620.1172698335,867856.6605204539,146476.7777902875,0.14647677779028756,3,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2020-12-31,0.0,0.24302290518857633,10352.50695103391,0.0,0.0,0.0,1156829.2847413216,281136.01358505874,875693.2711562628,156829.28474132158,0.15682928474132152,3,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2021-01-04,0.0,0.24302290518857633,23708.885556528185,0.0,0.0,0.0,1180538.1702978497,286897.8158317897,893640.35446606,180538.1702978497,0.1805381702978497,3,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2021-01-05,0.0,0.24302290518857633,-272.6149405318015,0.0,0.0,0.0,1180265.555357318,286831.5641569439,893433.991200374,180265.5553573179,0.1802655553573178,3,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2021-01-06,0.0,0.24302290518857633,1734.6728272828223,0.0,0.0,0.0,1182000.2281846008,287253.12938698183,894747.098797619,182000.22818460083,0.18200022818460093,3,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2021-01-07,0.0,0.24302290518857633,15730.75497881355,0.0,0.0,0.0,1197730.9831634143,291076.06316274276,906654.9200006715,197730.9831634143,0.1977309831634142,3,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2021-01-08,0.0,0.24302290518857633,-448.00141203710064,0.0,0.0,0.0,1197282.9817513772,290967.1885580609,906315.7931933163,197282.98175137723,0.19728298175137726,3,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2021-01-11,0.0,0.24302290518857633,-18488.632432357004,0.0,0.0,0.0,1178794.3493190203,286474.0273913858,892320.3219276345,178794.3493190203,0.17879434931902027,3,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2021-01-12,0.0,0.24302290518857633,10402.39744128081,0.0,0.0,0.0,1189196.746760301,289002.04823849205,900194.698521809,189196.74676030106,0.18919674676030107,3,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2021-01-13,0.0,0.24302290518857633,-8109.89830063845,0.0,0.0,0.0,1181086.8484596624,287031.157192687,894055.6912669754,181086.8484596624,0.1810868484596624,3,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2021-01-14,0.0,0.24302290518857633,-6514.87350378825,0.0,0.0,0.0,1174571.9749558743,285447.8937068603,889124.081249014,174571.97495587426,0.1745719749558743,3,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2021-01-15,0.0,0.24302290518857633,8667.173481675118,0.0,0.0,0.0,1183239.1484375494,287554.21538615035,895684.933051399,183239.14843754936,0.1832391484375493,3,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2021-01-18,59955.0202697477,0.1827251594879154,3032.5967233701017,79068.12531235679,139365.87101301772,98.83515664044599,1186271.7451609196,216761.69383053677,969510.0513303828,186271.7451609196,0.1862717451609197,3,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2021-01-19,0.0,0.1827251594879154,-7711.8202985281405,0.0,0.0,0.0,1178559.9248623913,215352.55023654606,963207.3746258452,178559.92486239132,0.17855992486239125,3,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2021-01-20,0.0,0.1827251594879154,9542.0356782759,0.0,0.0,0.0,1188101.9605406672,217096.12022769838,971005.8403129688,188101.96054066718,0.18810196054066708,3,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2021-01-21,0.0,0.1827251594879154,4462.639758459577,0.0,0.0,0.0,1192564.600299127,217911.55678930006,974653.0435098269,192564.60029912693,0.19256460029912703,3,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2021-01-22,0.0,0.1827251594879154,10612.525765981447,0.0,0.0,0.0,1203177.1260651082,219850.7322524586,983326.3938126497,203177.12606510823,0.2031771260651083,3,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2021-01-25,0.0,0.1827251594879154,6213.889594931211,0.0,0.0,0.0,1209391.0156600394,220986.1662197327,988404.8494403067,209391.01566003938,0.20939101566003937,3,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2021-01-26,0.0,0.1827251594879154,-7149.0741970489335,0.0,0.0,0.0,1202241.9414629906,219679.850496886,982562.0909661045,202241.9414629906,0.20224194146299057,3,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2021-01-27,0.0,0.1827251594879154,7117.508213946749,0.0,0.0,0.0,1209359.4496769372,220980.39832043595,988379.0513565012,209359.4496769372,0.2093594496769371,3,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2021-01-28,0.0,0.1827251594879154,-8552.347866850647,0.0,0.0,0.0,1200807.1018100865,219417.66919246953,981389.432617617,200807.10181008652,0.20080710181008654,3,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2021-01-29,0.0,0.1827251594879154,-7326.279745065555,0.0,0.0,0.0,1193480.8220650211,218078.97355759938,975401.8485074218,193480.82206502114,0.19348082206502104,3,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2021-02-01,0.0,0.1827251594879154,-7688.396522642287,0.0,0.0,0.0,1185792.4255423788,216674.1100767932,969118.3154655856,185792.4255423788,0.18579242554237885,3,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2021-02-02,0.0,0.1827251594879154,11143.11669933461,0.0,0.0,0.0,1196935.5422417135,218710.2378528716,978225.3043888418,196935.5422417135,0.1969355422417134,3,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2021-02-03,0.0,0.1827251594879154,3843.3841005564927,0.0,0.0,0.0,1200778.9263422699,219412.52082561908,981366.4055166508,200778.92634226987,0.2007789263422699,3,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2021-02-04,0.0,0.1827251594879154,-4424.3310194903015,0.0,0.0,0.0,1196354.5953227796,218604.0842344554,977750.5110883242,196354.5953227796,0.19635459532277966,3,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2021-02-05,0.0,0.1827251594879154,-7590.602397436488,0.0,0.0,0.0,1188763.992925343,217217.09020077446,971546.9027245686,188763.9929253431,0.18876399292534307,3,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2021-02-08,0.0,0.1827251594879154,8197.646644318076,0.0,0.0,0.0,1196961.639569661,218715.00649128304,978246.633078378,196961.6395696611,0.19696163956966117,3,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2021-02-09,0.0,0.1827251594879154,6347.927775236028,0.0,0.0,0.0,1203309.5673448972,219874.9326064308,983434.6347384664,203309.5673448972,0.20330956734489725,3,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2021-02-10,0.0,0.1827251594879154,1765.705501204452,0.0,0.0,0.0,1205075.2728461018,220197.57142574713,984877.7014203547,205075.27284610178,0.20507527284610183,3,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2021-02-18,0.0,0.1827251594879154,5755.793263656722,0.0,0.0,0.0,1210831.0661097583,221249.29966782822,989581.7664419301,210831.06610975834,0.21083106610975832,3,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2021-02-19,0.0,0.1827251594879154,-7734.664552396912,0.0,0.0,0.0,1203096.4015573615,219835.98185390598,983260.4197034555,203096.40155736147,0.20309640155736153,3,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
