代码,名称,最新价,涨跌幅,涨跌额,买入,卖出,成交量,成交额,今开,昨收,最高,最低
01858,春立医疗,9.47,1.18,0.11,9.47,9.47,998500.0,9507260.0,9.36,9.36,9.65,9.32
00939,建设银行,8.49,0.12,0.01,8.49,8.49,1230798186.0,10446398395.0,8.45,8.48,8.53,8.42
06865,福莱特玻璃,8.29,2.22,0.18,8.29,8.29,7917000.0,65428630.0,8.14,8.11,8.47,8.11
00038,第一拖拉机股份,8.26,1.35,0.11,8.26,8.26,4122088.0,34339035.98,8.24,8.15,8.46,8.01
01963,重庆银行,8.06,1.51,0.12,8.06,8.06,1352500.0,10879038.0,7.95,7.94,8.13,7.93
02883,中海油田服务,7.9,-0.88,-0.07,7.9,7.9,13981391.0,110539972.74,7.92,7.97,7.96,7.84
06881,中国银河,7.76,0.91,0.07,7.76,7.76,31629205.0,246392626.7,7.7,7.69,7.93,7.64
06178,光大证券,7.46,0.13,0.01,7.46,7.46,3287200.0,24753994.0,7.45,7.45,7.69,7.4
03328,交通银行,7.3,3.25,0.23,7.3,7.3,80574872.0,585630633.96,7.0,7.07,7.3,7.0
00998,中信银行,7.29,1.11,0.08,7.29,7.29,78364065.0,569208244.07,7.13,7.21,7.29,7.01
00902,华能国际电力股份,7.27,6.91,0.47,7.27,7.27,144209430.0,1034462049.11,6.8,6.8,7.34,6.71
01157,中联重科,7.21,-0.28,-0.02,7.21,7.21,9046580.0,65447297.0,7.25,7.23,7.34,7.18
06198,青岛港,7.18,2.13,0.15,7.18,7.18,3624000.0,25980632.0,7.13,7.03,7.23,7.04
00548,深圳高速公路股份,6.89,2.84,0.19,6.89,6.89,2316000.0,15866800.0,6.7,6.7,6.89,6.7
00916,龙源电力,6.77,4.64,0.3,6.77,6.77,67524259.0,455160074.4,6.49,6.47,6.92,6.44
01398,工商银行,6.64,0.76,0.05,6.64,6.64,346424884.0,2296056569.49,6.52,6.59,6.65,6.52
03618,重庆农村商业银行,6.36,0.63,0.04,6.36,6.36,12841293.0,81500212.92,6.32,6.32,6.39,6.25
